CATEGORIA;CLASSE;TIPOLOGIA DOCUMENTARIA;CONSERVAZIONE
3;12;-         CONGEDO STRAORDINARIO PER MOTIVI PERSONALI E FAMILIARI;ALLA CESSAZIONE DAL SERVIZIO
3;12;-         OPZIONE PER ORARIO PARTICOLARE E PART-TIME;PERMANENTE
3;12;-         PERMESSI D’USCITA PER MOTIVI PERSONALI;2 ANNI
3;12;-         PERMESSI PER ALLATTAMENTO;2 ANNI
3;12;-         PERMESSI PER DONAZIONE SANGUE;2 ANNI
3;12;-         PERMESSI PER MOTIVI SINDACALI;2 ANNI
3;12;-         PROSPETTI RIASSUNTIVI;
3;12;-         SINGOLE SCHEDE;1 ANNO DOPO LA REDAZIONE DEI PROSPETTI RIASSUNTIVI PERMANENTE
3;12;CRITERI GENERALI E NORMATIVA PER LE ASSENZE;PERMANENTE
3;12;DOMANDE E DICHIARAZIONI DEI DIPENDENTI SULL’ORARIO INSERITE NEL SINGOLO FASCICOLO PERSONALE:;
3;12;DOMANDE E DICHIARAZIONI DEI DIPENDENTI SULLE ASSENZE (CON ALLEGATI) INSERITE NEL SINGOLO FASCICOLO PERSONALE:;
3;12;"FOGLI FIRMA; CARTELLINI MARCATEMPO; TABULATI ELETTRONICI DI RILEVAZIONE PRESENZE";2 ANNI
3;12;REFERTI DELLE VISITE DI CONTROLLO INSERITI NEL SINGOLO FASCICOLO PERSONALE;ALLA CESSAZIONE DAL SERVIZIO
3;12;RILEVAZIONI DELLE ASSENZE PER SCIOPERO:;
3;13;CRITERI GENERALI E NORMATIVA PER I PROVVEDIMENTI DISCIPLINARI;PERMANENTE
3;13;PROVVEDIMENTI DISCIPLINARI INSERITI NEL SINGOLO FASCICOLO PERSONALE;PERMANENTE
3;14;CRITERI GENERALI E NORMATIVA PER LA FORMAZIONE E L’AGGIORNAMENTO PROFESSIONALE;PERMANENTE
3;14;DOMANDE/INVIO DEI DIPENDENTI A CORSI INSERITI NEL SINGOLO FASCICOLO PERSONALE;PERMANENTE PREVIO SFOLTIMENTO DOPO 5 ANNI
